,date,var_mean,var_std,var_min,var_max
357,1962-11-26,1.3102642,1.1298572,-0.7317691,3.22347
358,1962-12-01,0.8994714,1.1209812,-1.0950664,2.7309012
359,1962-12-06,0.5086938,1.0369216,-1.1928703,2.1704185
360,1962-12-11,0.09891899,0.93652683,-1.2411218,1.7307446
361,1962-12-16,-0.5921882,0.5947704,-1.3110468,0.78901136
362,1962-12-21,-0.8969555,0.34935105,-1.3327553,-0.100518554
363,1962-12-26,-1.0498623,0.24050719,-1.3581507,-0.24646235
364,1962-12-31,-1.1488092,0.17753324,-1.3832042,-0.5327623
365,1963-01-05,-1.2196728,0.12519073,-1.4614402,-0.7440757
366,1963-01-10,-1.2349726,0.11813873,-1.4847947,-0.8049041
367,1963-01-15,-1.2660224,0.0920753,-1.4876324,-0.94053394
368,1963-01-20,-1.2863944,0.08130676,-1.4890234,-0.9960784
369,1963-01-25,-1.2983882,0.07660748,-1.4895511,-1.0625429
370,1963-01-30,-1.3116223,0.068471864,-1.4834286,-1.0754468
371,1963-02-04,-1.3118598,0.078089066,-1.4785352,-0.98648447
372,1963-02-09,-1.3278822,0.063808404,-1.4743824,-1.1252213
373,1963-02-14,-1.3405764,0.054147486,-1.4963276,-1.1977805
374,1963-02-19,-1.3496319,0.05160573,-1.5085151,-1.1840154
375,1963-02-24,-1.3532712,0.052227158,-1.5204674,-1.1737328
376,1963-03-01,-1.3562772,0.053853225,-1.5195663,-1.1600685
377,1963-03-06,-1.3589447,0.055837773,-1.514184,-1.1507097
378,1963-03-11,-1.3607616,0.05694227,-1.5113622,-1.1444745
379,1963-03-16,-1.3629949,0.058642514,-1.5089041,-1.1369797
380,1963-03-21,-1.3662246,0.05989341,-1.5088036,-1.1322378
381,1963-03-26,-1.367252,0.061484493,-1.5119252,-1.1235855
382,1963-03-31,-1.3658924,0.06549642,-1.5108079,-1.1004006
383,1963-04-05,-1.3656185,0.06967468,-1.5119992,-1.0779319
384,1963-04-10,-1.3670442,0.07448224,-1.5165125,-1.0511423
385,1963-04-15,-1.3670387,0.07945237,-1.516662,-1.0161928
386,1963-04-20,-1.3679739,0.08517853,-1.5160791,-0.9895183
387,1963-04-25,-1.3686157,0.0926407,-1.5186235,-0.96074283
388,1963-04-30,-1.3611909,0.09712017,-1.5139624,-0.93790245
389,1963-05-05,-1.3614047,0.104871646,-1.5876558,-0.9231103
390,1963-05-10,-1.351235,0.11108808,-1.6069252,-0.90801483
391,1963-05-15,-1.3492134,0.11701993,-1.670814,-0.8923196
392,1963-05-20,-1.3491452,0.12231473,-1.5959793,-0.871066
393,1963-05-25,-1.3027633,0.13149296,-1.4924506,-0.40171567
394,1963-05-30,-1.3155879,0.1974167,-1.5811286,1.1471422
395,1963-06-04,-1.3055379,0.39098394,-1.6255524,2.6479504
396,1963-06-09,-1.1609501,0.67553496,-1.6096488,4.093379
397,1963-06-14,-0.3548029,1.5919613,-1.5063152,4.8336573
398,1963-06-19,0.54762155,2.8433325,-1.548877,6.965155
399,1963-06-24,1.003359,2.8943794,-1.6298565,7.2375426
400,1963-06-29,2.3076577,3.6756835,-1.600388,10.380775
401,1963-07-04,3.4444232,3.344455,-1.5719161,10.662307
402,1963-07-09,4.420825,2.8690658,-1.5112008,10.492522
403,1963-07-14,6.3227353,3.2465177,-1.517666,12.807739
404,1963-07-19,7.7170534,3.48553,0.36408073,14.384857
405,1963-07-24,9.63105,3.8692417,1.2885005,15.813803
406,1963-07-29,10.060242,3.9054594,2.0036554,16.680077
407,1963-08-03,10.173058,3.5580015,2.7575326,15.6635275
408,1963-08-08,10.925816,3.6659975,3.2238,16.269205
409,1963-08-13,10.279238,3.5753605,4.0428877,15.788266
410,1963-08-18,10.320625,3.3994198,4.7524304,15.71827
411,1963-08-23,10.685382,3.3085382,5.198961,15.918856
412,1963-08-28,11.143519,3.0701978,5.4936843,15.9493065
